cons_12m,cons_gas_12m,off_peak_forecast_energy,off_peak_forecast_power,imp_cons,margin_net_pow_ele,net_margin,pow_max,churn,off_peak_mean_energy,off_peak_mean_power,off_peak_diff_energy,off_peak_diff_power,origin,channel,discount_energy,active_products,antiquity
0,54946,0.114481,40.606701,0.0,25.44,678.99,43.648,1,0.12478708333333333,40.942265479999996,0.02005699999999999,3.7009605600000057,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,MULTIPLE,RECENT
4660,0,0.1457109999999999,44.31137796,0.0,16.38,18.89,13.8,0,0.14960891666666667,44.31137526,-0.0037669999999999926,0.17777879999999868,kamkkxfxxuwbdslkwifmmcsiusiuosws,MISSING,NO_DISCOUNT,ONE,OLD
544,0,0.165794,44.31137796,0.0,28.6,6.6,13.856,0,0.17051166666666664,44.38545035999999,-0.0046700000000000075,0.17777879999999868,kamkkxfxxuwbdslkwifmmcsiusiuosws,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,OLD
1584,0,0.146694,44.31137796,0.0,30.22,25.46,13.2,0,0.15121008333333333,44.40026526,-0.0045469999999999955,0.17777879999999868,kamkkxfxxuwbdslkwifmmcsiusiuosws,lmkebamcaaclubfxadlmueccxoimlema,NO_DISCOUNT,ONE,OLD
4425,0,0.1169,40.606701,52.32,44.91,47.98,19.8,0,0.12417433333333333,40.68815609999999,-0.006191999999999989,0.16291560000000516,kamkkxfxxuwbdslkwifmmcsiusiuosws,MISSING,NO_DISCOUNT,ONE,OLD
8302,0,0.164775,45.30837756,181.21,33.12,118.89,13.2,1,0.16895291666666667,44.26693046,-0.00808700000000001,-1.1999999998124622e-06,lxidpiddsbxsbosboudacockeimpuepw,usilxuppasemubllopkaafesmlibmsdf,NO_DISCOUNT,ONE,RECENT
45097,0,0.166178,44.31137796,0.0,4.04,346.63,15.0,1,0.1660606666666666,44.26692996,-0.004628000000000104,0.0,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,RECENT
29552,0,0.115174,40.606701,70.63,53.92,100.09,26.4,0,0.12281558333333333,40.6745798,-0.007801000000000002,0.16291560000000516,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,OLD
2962,0,0.1457109999999999,44.31137796,0.0,12.82,42.59,13.2,0,0.14968158333333334,44.31137536,-0.0037669999999999926,0.17777879999999868,kamkkxfxxuwbdslkwifmmcsiusiuosws,usilxuppasemubllopkaafesmlibmsdf,NO_DISCOUNT,ONE,RECENT
26064,0,0.1157609999999999,40.606701,219.59,33.42,329.6,31.5,0,0.12337916666666666,40.728885,-0.0071370000000000045,0.0,lxidpiddsbxsbosboudacockeimpuepw,lmkebamcaaclubfxadlmueccxoimlema,NO_DISCOUNT,ONE,OLD
10831,0,0.1646369999999999,44.31137796,349.48,14.52,108.5,11.5,0,0.16754041666666666,44.34100546,-0.0015469999999999928,0.17777879999999868,kamkkxfxxuwbdslkwifmmcsiusiuosws,usilxuppasemubllopkaafesmlibmsdf,NO_DISCOUNT,ONE,RECENT
4442,0,0.1670859999999999,46.30537836,308.41,21.09,18.41,10.392,0,0.16926066666666664,44.537302159999996,-0.0014959999999999973,2.1777792000000034,kamkkxfxxuwbdslkwifmmcsiusiuosws,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,OLD
